EMPRESA	TICKER	CNPJ
PETRO RECÔNCAVO	RECV3	03.342.704/0001-30
PETRO RIO	PRIO3	10.629.105/0001-68
PETROLEO BRASILEIRO PETROBRAS	PETR3/PETR4	33.000.167/0001-01
PETZ	PETZ3	18.328.118/0001-09
PLANO & PLANO	PLPL3	24.230.275/0001-80
PORTO SEGURO	PSSA3	02.149.205/0001-69
PORTOBELLO	PTBL3	83.475.913/0001-91
POSITIVO TECNOLOGIA	POSI3	81.243.735/0001-48
PRINER	PRNR3	18.593.815/0001-97
PROFARMA DISTRIB PROD FARMACEUTICOS	PFRM3	45.453.214/0001-51
QUALICORP	QUAL3	11.992.680/0001-93
QUERO-QUERO	LJQQ3	96.418.264/0218-02
RAIA DROGASIL	RADL3	61.585.865/0001-51
RAÍZEN	RAIZ4	33.453.598/0001-23
RANDON IMPLEMENTOS	RAPT3/RAPT4	89.086.144/0001-16
RECRUSUL	RCSL3/RCSL4	91.333.666/0001-17
REDE D’OR	RDOR3	06.047.087/0001-39
REDE ENERGIA	REDE3	61.584.140/0001-49
REFINARIA DE PETROLEOS MANGUINHOS	RPMG3	33.412.081/0001-96
RENOVA ENERGIA	RNEW11/RNEW3/RNEW4	08.534.605/0001-74
RESTOQUE COMÉRCIO E CONFECÇÕES DE ROUPAS	LLIS3	49.669.856/0001-43
RIO PARANAPANEMA ENERGIA	GEPA3/GEPA4	02.998.301/0001-81
ROSSI RESIDENCIAL	RSID3	61.065.751/0001-80
RUMO	RAIL3	02.387.241/0001-60
SANTOS BRASIL	STBP3	02.762.121/0001-04
SAO CARLOS	SCAR3	29.780.061/0001-09
SAO MARTINHO	SMTO3	51.466.860/0001-56
SARAIVA LIVREIROS EDITORES	SLED3/SLED4	60.500.139/0001-26
SCHULZ	SHUL3/SHUL4	84.693.183/0001-68
SEQUOIA	SEQL3	01.599.101/0001-93
SER EDUCACIONAL	SEER3	04.986.320/0001-13
SIMPAR	SIMH3	07.415.333/0001-20
SINQIA	SQIA3	04.065.791/0001-99
SLC AGRICOLA	SLCE3	89.096.457/0001-55
